cell,column,old_value,new_value
Pipeline!T301,Outreach Channel,LinkedIn InMail (Sales Nav),InMail
Pipeline!T485,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T488,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T489,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T492,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T495,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T496,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T498,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T510,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T512,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T518,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T522,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T523,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T524,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T547,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T613,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T623,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T635,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T650,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T655,Outreach Channel,LinkedIn connection note,Connection Note
Pipeline!T663,Outreach Channel,LinkedIn InMail,InMail
Pipeline!T671,Outreach Channel,LinkedIn connection note,Connection Note
Pipeline!T689,Outreach Channel,InMail (7+ rule),InMail
Pipeline!T740,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T766,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T789,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T808,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T809,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T850,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T867,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T883,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T884,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T1020,Outreach Channel,LinkedIn InMail (Sales Nav),InMail
Pipeline!T1021,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T1022,Outreach Channel,LinkedIn InMail (Sales Nav),InMail
Pipeline!T1023,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T1025,Outreach Channel,LinkedIn InMail (Sales Nav),InMail
Pipeline!T1028,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T1029,Outreach Channel,LinkedIn InMail (Sales Nav),InMail
Pipeline!T1031,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T1033,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T1036,Outreach Channel,LinkedIn Connection Note,Connection Note
Pipeline!T1037,Outreach Channel,LinkedIn InMail (Sales Nav),InMail
Pipeline!T1040,Outreach Channel,LinkedIn InMail (Sales Nav),InMail
Pipeline!T1042,Outreach Channel,LinkedIn (connection note),Connection Note
Pipeline!T1043,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T1044,Outreach Channel,InMail (7+ rule; 2nd degree),InMail
Pipeline!T1045,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T1046,Outreach Channel,"InMail (7+ rule; 2nd degree, 1 mutual)",InMail
Pipeline!T1047,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1048,Outreach Channel,"InMail (7+ rule; 2nd degree, 1 mutual)",InMail
Pipeline!T1049,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T1050,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T1051,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1052,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T1053,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T1054,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T1055,Outreach Channel,"LinkedIn (connection note - 2nd degree, 1 mutual)",Connection Note
Pipeline!T1056,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1057,Outreach Channel,LinkedIn,LinkedIn DM
Pipeline!T1058,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1059,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1060,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1061,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1062,Outreach Channel,InMail (7+ rule),InMail
Pipeline!T1065,Outreach Channel,"LinkedIn (connection note - 2nd degree, 1 mutual)",Connection Note
Pipeline!T1067,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1069,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1074,Outreach Channel,LinkedIn (connection note - 2nd degree),Connection Note
Pipeline!T1077,Outreach Channel,InMail (7+ rule),InMail
Pipeline!T1078,Outreach Channel,"LinkedIn (connection note - 2nd degree, 3 mutuals)",Connection Note
Pipeline!T1079,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1082,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!T1088,Outreach Channel,LinkedIn (connection note - 3rd degree),Connection Note
Pipeline!AB85,Status,Connection send,Connection Requested
Pipeline!AB95,Status,Connection send,Connection Requested
Pipeline!AB108,Status,Connection send,Connection Requested
Pipeline!AB113,Status,Connection send,Connection Requested
Pipeline!AB200,Status,Connection send,Connection Requested
Pipeline!AB301,Status,InMail sent,InMail Sent
Pipeline!AB484,Status,Connected - Accepted,Connected (No DM yet)
Pipeline!AB493,Status,Connected,Connected (No DM yet)
Pipeline!AB564,Status,Replied - Not a fit (network-only),Closed - Not Interested
